Date,ACEIX,PWTYX,OGIAX,PRWCX,MDCPX,SWOBX,PGMAX,OAKBX,VGSTX,GOIAX,MXGPX,MBAAX,FSATX
2023-12-26,9.288766860961914,44.36654281616211,14.13427734375,30.728561401367188,22.838472366333008,14.8367919921875,12.885250091552734,32.88311767578125,25.156551361083984,13.740409851074219,10.39554500579834,16.184629440307617,14.043177604675293
2023-12-27,9.297972679138184,44.49607849121094,14.190217018127441,30.819311141967773,22.950109481811523,14.890939712524414,12.953736305236816,32.990257263183594,25.29546356201172,13.805487632751465,10.433940887451172,16.26276969909668,14.11996841430664
2023-12-28,9.297972679138184,44.46832275390625,14.18089485168457,30.828388214111328,22.931501388549805,14.8661470413208,12.94589614868164,32.990257263183594,25.267305374145508,13.799888610839844,10.473519325256348,16.253002166748047,14.105366706848145
2023-12-29,9.279561042785645,44.32027816772461,14.316435813903809,30.773935317993164,22.931501388549805,14.8661470413208,12.92629623413086,32.88311767578125,25.20160484313965,13.799888610839844,10.473519325256348,16.22370147705078,14.085897445678711
2024-01-02,9.288766860961914,44.06120300292969,14.081121444702148,30.619659423828125,22.71753692626953,14.70404052734375,12.847896575927734,32.86363983154297,25.013879776000977,13.687921524047852,10.454212188720703,16.126026153564453,13.978816986083984
2024-01-03,9.24273681640625,43.71885299682617,14.005821228027344,30.447229385375977,22.596601486206055,14.608682632446289,12.779295921325684,32.532474517822266,24.835546493530273,13.622608184814453,10.328722953796387,16.028350830078125,13.891206741333008
2024-01-04,9.224325180053711,43.51529312133789,13.968171119689941,30.347402572631836,22.53148078918457,14.551469802856445,12.749896049499512,32.405845642089844,24.760456085205078,13.585286140441895,10.319069862365723,15.999048233032227,13.8620023727417
2024-01-05,9.25194263458252,43.5245475769043,13.968171119689941,30.347402572631836,22.53148078918457,14.551469802856445,12.749896049499512,32.50325012207031,24.760456085205078,13.585286140441895,10.319069862365723,15.999048233032227,13.85226821899414
2024-01-08,9.297972679138184,44.042694091796875,14.071707725524902,30.61058235168457,22.736143112182617,14.70404052734375,12.828296661376953,32.73701477050781,25.02326774597168,13.706582069396973,10.396294593811035,16.11625862121582,13.978816986083984
2024-01-09,9.261148452758789,43.9871826171875,14.043469429016113,30.60150909423828,22.671024322509766,14.694504737854004,12.818496704101562,32.590911865234375,24.948179244995117,13.66926097869873,10.357682228088379,16.04788589477539,13.939878463745117
2024-01-10,9.25194263458252,44.144474029541016,14.081121444702148,30.692258834838867,22.745447158813477,14.75171947479248,12.838096618652344,32.56169128417969,25.00449562072754,13.706582069396973,10.367335319519043,16.067420959472656,13.978816986083984
2024-01-11,9.25194263458252,44.20924377441406,14.099946022033691,30.674108505249023,22.77335548400879,14.780325889587402,12.877297401428223,32.54220962524414,25.051427841186523,13.72524356842041,10.367335319519043,16.07718849182129,13.998286247253418
2024-01-12,9.25194263458252,44.22774887084961,14.128183364868164,30.710411071777344,22.819869995117188,14.780325889587402,12.916497230529785,32.49350357055664,25.07019805908203,13.72524356842041,10.367335319519043,16.096723556518555,14.02748966217041
2024-01-16,9.187501907348633,43.9871826171875,14.0340576171875,30.565208435058594,22.633811950683594,14.70404052734375,12.838096618652344,32.31818771362305,24.863704681396484,13.650599479675293,10.319069862365723,15.940443992614746,13.92041015625
2024-01-17,9.141472816467285,43.74660873413086,13.958758354187012,30.447229385375977,22.484966278076172,14.627755165100098,12.749896049499512,32.1136360168457,24.69475555419922,13.557292938232422,10.25149917602539,15.852537155151367,13.842534065246582
2024-01-18,9.159883499145508,43.95942306518555,14.015233993530273,30.556129455566406,22.596601486206055,14.713576316833496,12.798896789550781,32.1525993347168,24.807388305664062,13.631937980651855,10.29011058807373,15.891608238220215,13.900940895080566
2024-01-19,9.215118408203125,44.30177307128906,14.090534210205078,30.728561401367188,22.75474739074707,14.713576316833496,12.867497444152832,32.1525993347168,24.976337432861328,13.715912818908691,10.29011058807373,15.989282608032227,13.978816986083984
2024-01-22,9.25194263458252,44.45906448364258,14.128183364868164,30.810237884521484,22.791959762573242,14.875682830810547,12.896897315979004,32.50325012207031,25.04203987121582,13.743904113769531,10.386641502380371,16.028350830078125,14.008021354675293
2024-01-23,9.261148452758789,44.514583587646484,14.128183364868164,30.882837295532227,22.8012638092041,14.875682830810547,12.896897315979004,32.50325012207031,25.051427841186523,13.743904113769531,10.376988410949707,16.028350830078125,14.017755508422852
2024-01-24,9.24273681640625,44.514583587646484,14.13759708404541,30.783010482788086,22.847776412963867,14.885218620300293,12.916497230529785,32.474029541015625,25.07958221435547,13.762565612792969,10.367335319519043,16.067420959472656,14.02748966217041
2024-01-25,9.307177543640137,44.70888900756836,14.194069862365723,30.910064697265625,22.940805435180664,14.942432403564453,12.975296020507812,32.698055267333984,25.192216873168945,13.818550109863281,10.415600776672363,16.135793685913086,14.076163291931152
2024-01-26,9.307177543640137,44.727394104003906,14.203484535217285,30.9282169342041,22.95941162109375,14.951969146728516,12.975296020507812,32.834415435791016,25.210988998413086,13.827879905700684,10.425253868103027,16.096723556518555,14.09563159942627
2024-01-29,9.344001770019531,45.069740295410156,14.278783798217773,31.118793487548828,23.080347061157227,15.066396713256836,13.05369758605957,32.990257263183594,25.370553970336914,13.902523040771484,10.473519325256348,16.19439697265625,14.183242797851562
